iso3,GID_1,GID_2,area,population,pop_density_sqkm
AGO,AGO.5_1,AGO.5.1_1,8302.873886421276,16859,2.0305017552502664
AGO,AGO.5_1,AGO.5.2_1,19898.719271302867,23033,1.1575116813280173
AGO,AGO.5_1,AGO.5.3_1,12212.968787928798,35295,2.889960714129172
AGO,AGO.5_1,AGO.5.4_1,36821.93672500293,32012,0.8693730652756003
AGO,AGO.5_1,AGO.5.5_1,19244.70547270544,13474,0.7001406188891813
AGO,AGO.5_1,AGO.5.6_1,45680.33610440201,21398,0.4684291278219814
AGO,AGO.5_1,AGO.5.7_1,24195.405283848864,251198,10.382053826049443
AGO,AGO.5_1,AGO.5.8_1,10506.991255799838,2857,0.27191418841458936
AGO,AGO.5_1,AGO.5.9_1,30549.195204239837,24848,0.8133765827176821
AGO,AGO.6_1,AGO.6.1_1,3306.6952868875505,44400,13.427303137384577
AGO,AGO.6_1,AGO.6.2_1,1007.3297456062008,5038,5.001341439558288
AGO,AGO.6_1,AGO.6.3_1,1355.5672377491353,11119,8.202470294621941
AGO,AGO.6_1,AGO.6.4_1,1330.0447228776177,12994,9.76959629739881
AGO,AGO.6_1,AGO.6.5_1,4152.907131123277,62302,15.002021001887554
AGO,AGO.6_1,AGO.6.6_1,2104.8781027042455,119525,56.784761001808164
AGO,AGO.6_1,AGO.6.7_1,1393.7760438773162,23006,16.506238646490218
AGO,AGO.6_1,AGO.6.8_1,1786.2077067300345,21532,12.05458912693759
AGO,AGO.6_1,AGO.6.9_1,1441.7568335530468,15056,10.442815077835414
AGO,AGO.6_1,AGO.6.10_1,1431.9836097731095,4982,3.479090099913485
AGO,AGO.6_1,AGO.6.11_1,1943.6771742341516,8071,4.152438536085674
AGO,AGO.6_1,AGO.6.12_1,215.8189527661821,7111,32.94891347056088
AGO,AGO.6_1,AGO.6.13_1,2639.1127111241444,17524,6.640110490974656
AGO,AGO.7_1,AGO.7.1_1,1150.206803189198,247440,215.1265314323641
AGO,AGO.7_1,AGO.7.2_1,4908.572399480983,149611,30.479534134164833
AGO,AGO.7_1,AGO.7.3_1,1835.8127886943169,95144,51.82663536605449
AGO,AGO.7_1,AGO.7.4_1,2018.1006761045144,167729,83.11230553857342
AGO,AGO.7_1,AGO.7.5_1,5829.107970548181,89760,15.39858250241997
AGO,AGO.7_1,AGO.7.6_1,11476.859966038117,80505,7.014549296430148
AGO,AGO.7_1,AGO.7.7_1,3857.2722112371143,121928,31.60990288546292
AGO,AGO.7_1,AGO.7.8_1,10041.759737012504,143885,14.328663876477773
AGO,AGO.7_1,AGO.7.9_1,1994.421119702408,97448,48.86029286259284
AGO,AGO.7_1,AGO.7.10_1,4048.1809863476014,183544,45.33987008461281
AGO,AGO.7_1,AGO.7.11_1,4168.948112043363,276354,66.28866384824066
AGO,AGO.7_1,AGO.7.12_1,4912.189430882721,230397,46.90311789514958
AGO,AGO.8_1,AGO.8.1_1,10332.70193163788,89238,8.636463201049148
AGO,AGO.8_1,AGO.8.2_1,21497.576305043112,464247,21.59531816110323
AGO,AGO.8_1,AGO.8.3_1,8169.806969058142,53691,6.571881098702357
AGO,AGO.8_1,AGO.8.4_1,16016.359121967464,77895,4.8634648740588
AGO,AGO.8_1,AGO.8.5_1,11427.5467588284,181564,15.888274520489883
AGO,AGO.8_1,AGO.8.6_1,13007.983616156494,368518,28.330140233439735
AGO,AGO.9_1,AGO.9.1_1,7170.89003976622,249780,34.832496191524804
AGO,AGO.9_1,AGO.9.2_1,4359.352791249101,231364,53.07301589915746
AGO,AGO.9_1,AGO.9.3_1,2856.7885150472775,101882,35.663122931
AGO,AGO.9_1,AGO.9.4_1,1481.0108216505294,71570,48.325102662138555
AGO,AGO.9_1,AGO.9.5_1,2956.8609927512543,588273,198.9518619380997
AGO,AGO.9_1,AGO.9.6_1,2612.079686642218,110844,42.43515255941062
AGO,AGO.9_1,AGO.9.7_1,2398.533938326215,76985,32.09668988620731
AGO,AGO.9_1,AGO.9.8_1,3022.063109231068,97574,32.28721455285117
AGO,AGO.9_1,AGO.9.9_1,4326.444122879426,91268,21.095383970718522
AGO,AGO.9_1,AGO.9.10_1,1061.7154664079549,25319,23.847255504019753
AGO,AGO.9_1,AGO.9.11_1,1696.157416821013,37962,22.381177373942965
AGO,AGO.10_1,AGO.10.1_1,4915.246301336122,216963,44.14081954367627
AGO,AGO.10_1,AGO.10.2_1,4090.904013941105,269461,65.86832618944926
AGO,AGO.10_1,AGO.10.3_1,5426.140689040781,246939,45.50914068607632
AGO,AGO.10_1,AGO.10.4_1,4261.531668227955,172711,40.52791659103575
AGO,AGO.10_1,AGO.10.5_1,3931.129469929011,83507,21.242495480950918
AGO,AGO.10_1,AGO.10.6_1,8468.150132691298,103545,12.22758198396418
AGO,AGO.10_1,AGO.10.7_1,1140.4852663572326,117984,103.45070075025768
AGO,AGO.10_1,AGO.10.8_1,12243.408920025013,137690,11.246050907831535
AGO,AGO.10_1,AGO.10.9_1,9285.927662553187,103136,11.106698624835348
AGO,AGO.10_1,AGO.10.10_1,3932.1336597438303,1037958,263.96813786528827
AGO,AGO.10_1,AGO.10.11_1,9337.14524474918,332022,35.559262632946115
