iso3,GID_1,area,population,pop_density_sqkm
AGO,AGO.8_1,80451.97470269148,1235153,15.352674742471903
AGO,AGO.9_1,33941.89690077228,1682821,49.57946236533736
ZWE,ZWE.10_1,52242.18274515315,1746097,33.42312492029244
ZWE,ZWE.1_1,486.1826699275159,629676,1295.1428320015546
ZWE,ZWE.2_1,939.9537959593368,2291719,2438.1187775948315
ZWE,ZWE.3_1,37621.19515029772,1912019,50.822920227851114
ZWE,ZWE.4_1,29550.063445165302,1294997,43.82383145819861
ZWE,ZWE.5_1,33727.56114056228,1567195,46.46630076419078
ZWE,ZWE.6_1,59993.232057061294,1771161,29.522680130241987
ZWE,ZWE.7_1,60066.783213604926,1631131,27.15529137292896
ZWE,ZWE.8_1,79649.63809802559,790054,9.919116004364925
ZWE,ZWE.9_1,58462.2061920306,707832,12.107514343112314
RWA,RWA.1_1,3248.2161384400924,1921851,591.6635217885902
RWA,RWA.2_1,5957.775370417088,3151163,528.9160473633962
RWA,RWA.3_1,9464.704336434917,3791757,400.62075530488744
RWA,RWA.4_1,5880.397614870042,2934100,498.9628579843651
RWA,RWA.5_1,730.7369723526283,1686082,2307.371959806018
NER,NER.1_1,660520.8716554169,671389,1.0164538757380142
NER,NER.2_1,151949.89051465216,901127,5.930422173704077
NER,NER.3_1,32318.84689912976,2578344,79.77834135132545
NER,NER.4_1,40527.05517743545,4601270,113.53575974999247
NER,NER.5_1,408.06218066701064,1178701,2888.532816428413
NER,NER.6_1,110389.89450647419,4998219,45.27786734778393
NER,NER.7_1,93430.11080738614,3752269,40.16123889369682
NER,NER.8_1,150710.45550372207,5247070,34.815567257511304
SDN,SDN.10_1,388245.2234412423,911744,2.3483714543058247
SDN,SDN.11_1,229841.56117156823,2440778,10.619393583817722
SDN,SDN.12_1,132792.34355344408,1511202,11.380189245562914
SDN,SDN.13_1,41334.66135840672,1749177,42.31743874307195
SDN,SDN.14_1,79586.77149417296,4301574,54.048856603197486
SDN,SDN.15_1,80886.17098511259,880235,10.88239175225652
SDN,SDN.16_1,23294.433788888968,822178,35.29504118671321
SDN,SDN.17_1,115360.0467656634,1760891,15.26430553185355
SDN,SDN.18_1,41063.96637710546,2512469,61.184274722199895
SDN,SDN.1_1,25010.833865327786,3964555,158.51350744031026
SDN,SDN.2_1,66032.95652021246,1727799,26.165707111283538
SDN,SDN.3_1,37748.0599170599,1171836,31.043608666902617
SDN,SDN.4_1,37958.4644993788,782264,20.608420554335172
SDN,SDN.5_1,56136.52297387102,2309928,41.14839818410495
SDN,SDN.6_1,47407.1808226174,2228063,46.99842853631612
SDN,SDN.7_1,21947.448441155222,7382946,336.39199653640435
SDN,SDN.8_1,330141.0107319839,3356855,10.16794306335111
SDN,SDN.9_1,194508.63258508884,2846492,14.634270788751687
ERI,ERI.1_1,1266.546345698931,635929,502.0969048306471
ERI,ERI.2_1,34171.469830199276,1107736,32.41698427092623
ERI,ERI.3_1,23338.99542476131,111528,4.778611845549929
