lca_mfg_kg,lca_trans_kg,lca_constr_kg,lca_ops_kg,lca_eolts_kg,total_emissions_ghg_kg,total_emissions_ssa_kg,total_population,social_carbon_cost_usd,user_emissions_kg_per_user,annualized_per_user_emissions,per_user_scc_usd,total_ssa_scc_usd,per_user_annualized_scc_usd,decile,strategy,algorithm,technology
930277.9355192193,3391.456786350933,29583.48525091792,2825.4091312437936,182081.7583861991,1148160.045073931,282914329.6374148,454595.561987559,86112.00338054483,2.5256736780579327,0.0841891226019311,0.18942552585434494,21218574.72280611,0.006314184195144831,Decile 2,access,prims,fiber
32031643.500601802,9216.252831608324,84195.98985916718,8041.247221025776,518213.24474093417,32651310.235254537,2049157967.8764951,1784854.7575651803,2448848.26764409,18.293539066336134,0.6097846355445378,1.37201542997521,153686847.59073713,0.045733847665840335,Decile 2,regional,pcsf,fiber
533107.7913092888,2347.0902075349027,19791.644617333714,1890.2266906638952,121814.49963428696,678951.2524591082,32350743.448784903,2350888.51953125,50921.34393443311,0.28880623084351364,0.009626874361450455,0.021660467313263522,2426305.7586588673,0.000722015577108784,Decile 2,regional,prims,fiber
7354270.454734507,10714.221982981726,102902.25122895694,9157.849205705996,1110616.5068964364,8587661.284048589,4234919912.2218676,176173.29996626216,644074.5963036441,48.74553230082628,1.6248510766942093,3.6559149225619705,317618993.41664004,0.12186383075206568,Decile 3,access,pcsf,fiber
1185620.811897153,1567.1526564504043,13112.778229540003,1166.9797721607051,141525.26090606285,1342992.983461367,598438995.7165767,194968.40672731717,100724.47375960252,6.888259518577679,0.22960865061925598,0.5166194638933259,44882924.67874325,0.017220648796444197,Decile 3,access,prims,fiber
52160349.88450276,6860.339574921285,65071.76606823141,5791.101886351606,702314.8343711293,52940387.926403396,3242616883.192574,1418410.2603406906,3970529.0944802547,37.323748570239154,1.2441249523413052,2.7992811427679363,243196266.23944303,0.09330937142559788,Decile 3,regional,pcsf,fiber
926866.6528848917,1934.6909169990963,16720.607747795537,1488.0607815019425,180464.30226996314,1127474.3146011515,41448708.329135306,2363230.2666266025,84560.57359508636,0.47709033289022945,0.015903011096340982,0.03578177496676721,3108653.124685148,0.0011927258322255738,Decile 3,regional,prims,fiber
15127120.964277465,12069.801058387333,82044.12724529463,13526.013663808353,1429102.1543638213,16663863.060608774,9160293896.468483,253543.72783045337,1249789.7295456582,65.72382288136123,2.1907940960453742,4.929286716102093,687022042.2351363,0.1643095572034031,Decile 4,access,pcsf,fiber
2971002.0091951406,1997.0261996819331,12214.49543243373,2013.7142981809054,212760.6487271058,3199987.893852543,1303149822.1915781,342247.7307705029,239999.09203894073,9.349917051746129,0.31166390172487096,0.7012437788809597,97736236.66436836,0.023374792629365322,Decile 4,access,prims,fiber
161903073.54025695,12443.53574434883,84635.04741202819,13953.159673568418,1474232.6191074261,163488337.90219432,8702526503.39546,2618351.9051996376,12261625.342664575,62.43940609263867,2.081313536421289,4.682955456947901,652689487.7546595,0.15609851523159668,Decile 4,regional,pcsf,fiber
